dataset,scenario,model,config,column,n_rows,n_unique,unique_ratio,n_null_like,null_rate,is_categorical,top_value,top_share
airlines_review,causal_qatar_business,haiku,skill_off_update,Low_Rating_Count,592,6,0.0101,0,0.0,1,0,0.5372
airlines_review,causal_qatar_business,haiku,skill_off_update,Has_Major_Complaint,592,2,0.0034,0,0.0,1,0,0.8497
airlines_review,causal_qatar_business,haiku,skill_off_update,Overall_Low,592,2,0.0034,0,0.0,1,0,0.8615
airlines_review,causal_qatar_business,haiku,skill_off_update,Service_Comfort_Gap,592,5,0.0084,0,0.0,1,0,0.4122
airlines_review,causal_qatar_business,sonnet,skill_off_update,Low_Value_For_Money,592,2,0.0034,0,0.0,1,no,0.8412
airlines_review,causal_qatar_business,sonnet,skill_off_update,Mentions_Seat_Issue,592,2,0.0034,0,0.0,1,yes,0.6858
airlines_review,causal_qatar_business,sonnet,skill_off_update,Mentions_Service_Complaint,592,2,0.0034,0,0.0,1,yes,0.8716
airlines_review,causal_qatar_business,sonnet,skill_off_update,Mentions_Price_Complaint,592,2,0.0034,0,0.0,1,no,0.6757
airlines_review,causal_qatar_business,sonnet,skill_off_update,Mentions_Delay_Or_Disruption,592,2,0.0034,0,0.0,1,no,0.6385
airlines_review,causal_qatar_business,sonnet,skill_off_update,Avg_Service_Rating,592,17,0.0287,0,0.0,1,4.40,0.1284
airlines_review,causal_qatar_business,sonnet,skill_off_update,Overall_Vs_Service_Gap,592,54,0.0912,0,0.0,1,5.40,0.0794
airlines_review,causal_qatar_business,haiku,skill_on_e2e,aircraft_product_downgrade,592,5,0.0084,38,0.0642,1,consistent_product,0.7044
airlines_review,causal_qatar_business,haiku,skill_on_e2e,food_beverage_quality_decline,592,6,0.0101,199,0.3361,1,food_quality_expected,0.5084
airlines_review,causal_qatar_business,haiku,skill_on_e2e,cabin_crew_service_inconsistency,592,5,0.0084,0,0.0,1,crew_professional,0.7618
airlines_review,causal_qatar_business,haiku,skill_on_e2e,seat_product_comfort_issue,592,7,0.0118,92,0.1554,1,seat_working,0.7044
airlines_review,causal_qatar_business,haiku,skill_on_e2e,traveler_segment_mismatch,592,5,0.0084,0,0.0,1,segment_aligned,0.5524
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,seat_hardware_quality,592,6,0.0101,199,0.3361,1,Unknown,0.3361
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,downgrade_notification_given,592,2,0.0034,0,0.0,1,False,0.9932
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,cabin_crew_service_quality,592,5,0.0084,47,0.0794,1,proactive_and_warm,0.6976
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,service_consistency_across_legs,592,4,0.0068,24,0.0405,1,consistent_high,0.4916
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,ground_service_failure,592,7,0.0118,462,0.7804,1,,0.7804
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,operational_disruption_type,592,5,0.0084,552,0.9324,1,,0.9324
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,policy_or_process_failure,592,6,0.0101,507,0.8564,1,,0.8564
airlines_review,causal_qatar_business,sonnet,skill_on_e2e,cabin_comfort_environment,592,5,0.0084,111,0.1875,1,comfortable,0.7179
airlines_review,causal_qatar_business,haiku,skill_on,seat_ergonomic_fault,592,7,0.0118,123,0.2078,1,optimal_comfort,0.603
airlines_review,causal_qatar_business,haiku,skill_on,ground_operations_deficiency,592,7,0.0118,256,0.4324,1,Unknown,0.4324
airlines_review,causal_qatar_business,haiku,skill_on,food_beverage_quality_decline,592,6,0.0101,165,0.2787,1,excellent_food,0.5709
airlines_review,causal_qatar_business,haiku,skill_on,crew_service_execution_gap,592,7,0.0118,67,0.1132,1,reliable_service,0.6301
airlines_review,causal_qatar_business,haiku,skill_on,ancillary_amenity_shortfall,592,6,0.0101,144,0.2432,1,premium_amenities_complete,0.5068
airlines_review,causal_qatar_business,haiku,skill_on,traveller_expectation_alignment,592,5,0.0084,0,0.0,1,expectations_exceeded,0.6064
airlines_review,causal_qatar_business,haiku,skill_on,price_value_mismatch,592,3,0.0051,0,0.0,1,value_perceived_adequate,0.5828
airlines_review,causal_qatar_business,sonnet,skill_on,seat_hardware_condition,592,5,0.0084,228,0.3851,1,Unknown,0.3851
airlines_review,causal_qatar_business,sonnet,skill_on,cabin_crew_service_quality,592,5,0.0084,90,0.152,1,excellent,0.6655
airlines_review,causal_qatar_business,sonnet,skill_on,food_quality_issue,592,6,0.0101,124,0.2095,1,excellent,0.4932
airlines_review,causal_qatar_business,sonnet,skill_on,ife_quality_issue,592,4,0.0068,554,0.9358,1,,0.9358
airlines_review,causal_qatar_business,sonnet,skill_on,service_consistency_across_sectors,592,4,0.0068,0,0.0,1,single_leg_only,0.6774
airlines_review,causal_qatar_business,sonnet,skill_on,ground_ops_failure_type,592,6,0.0101,500,0.8446,1,,0.8446
airlines_review,causal_qatar_business,sonnet,skill_on,flight_disruption_type,592,5,0.0084,517,0.8733,1,,0.8733
airlines_review,causal_qatar_business,sonnet,skill_on,policy_flexibility_failure,592,6,0.0101,559,0.9443,1,,0.9443
airlines_review,causal_qatar_business,sonnet,skill_on,product_downgrade_expectation,592,6,0.0101,519,0.8767,1,,0.8767
airlines_review,concept_advantage_attributes,haiku,skill_off_update,is_high_rating,899,2,0.0022,0,0.0,1,True,0.7608
airlines_review,concept_advantage_attributes,haiku,skill_off_update,advantages_text,899,198,0.2202,8,0.0089,0,Service Quality,0.0679
airlines_review,concept_advantage_attributes,haiku,skill_off_update,high_rating_advantages,899,169,0.188,222,0.2469,1,N/A,0.2392
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_food,899,2,0.0022,0,0.0,1,1,0.7397
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_staff,899,2,0.0022,0,0.0,1,1,0.9221
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_seat_comfort,899,2,0.0022,0,0.0,1,1,0.6307
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_entertainment,899,2,0.0022,0,0.0,1,0,0.5929
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_value,899,2,0.0022,0,0.0,1,0,0.8565
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_lounge,899,2,0.0022,0,0.0,1,0,0.822
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_punctuality,899,2,0.0022,0,0.0,1,0,0.6941
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,adv_cleanliness,899,2,0.0022,0,0.0,1,0,0.8443
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,advantage_attribute_count,899,9,0.01,0,0.0,1,4,0.2636
airlines_review,concept_advantage_attributes,sonnet,skill_off_update,top_advantage_attribute,899,8,0.0089,10,0.0111,1,adv_food,0.7397
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,cabin_crew_attentiveness,899,5,0.0056,8,0.0089,1,exceptional_attentive,0.515
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,service_personalization_and_recognition,899,4,0.0044,0,0.0,1,warm_greeting,0.5528
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,food_beverage_quality_perception,899,6,0.0067,43,0.0478,1,very_good_quality,0.6418
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,seat_comfort_and_space,899,6,0.0067,79,0.0879,1,very_comfortable,0.564
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,amenities_and_extras_provision,899,5,0.0056,1,0.0011,1,generous_amenities,0.515
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,beverage_drink_service,899,5,0.0056,283,0.3148,1,good_variety,0.3382
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,meal_personalization_and_dietary_accommodation,899,7,0.0078,24,0.0267,1,good_accommodation,0.5095
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,on_time_performance,899,5,0.0056,386,0.4294,1,mostly_punctual,0.4727
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,service_consistency_across_legs,899,4,0.0044,0,0.0,1,consistently_excellent,0.6796
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,ground_handling_and_check_in_experience,899,5,0.0056,295,0.3281,1,smooth_standard,0.4494
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,airline_problem_resolution_capacity,899,5,0.0056,181,0.2013,1,proactive_responsive,0.3715
airlines_review,concept_advantage_attributes,haiku,skill_on_e2e,value_for_money_perception,899,6,0.0067,2,0.0022,1,good_value,0.5729
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,crew_service_quality,899,4,0.0044,0,0.0,1,good,0.5195
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,food_beverage_quality,899,5,0.0056,167,0.1858,1,good,0.4127
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,seat_comfort_quality,899,4,0.0044,372,0.4138,1,Unknown,0.4138
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,lounge_quality,899,5,0.0056,437,0.4861,1,Unknown,0.4861
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,value_for_money_perception,899,5,0.0056,5,0.0056,1,good_value,0.6685
airlines_review,concept_advantage_attributes,sonnet,skill_on_e2e,special_assistance_provided,899,2,0.0022,0,0.0,1,False,0.8877
airlines_review,concept_advantage_attributes,haiku,skill_on,crew_personalization_attentiveness,899,7,0.0078,17,0.0189,1,attentive_throughout,0.6129
airlines_review,concept_advantage_attributes,haiku,skill_on,food_beverage_quality,899,6,0.0067,124,0.1379,1,excellent_tasty,0.4283
airlines_review,concept_advantage_attributes,haiku,skill_on,seat_comfort_and_legroom,899,5,0.0056,57,0.0634,1,comfortable_adequate,0.3971
airlines_review,concept_advantage_attributes,haiku,skill_on,aircraft_modernity_type,899,6,0.0067,400,0.4449,1,Unknown,0.3682
airlines_review,concept_advantage_attributes,haiku,skill_on,ground_and_lounge_service_quality,899,5,0.0056,3,0.0033,1,excellent_premium_amenities,0.3626
airlines_review,concept_advantage_attributes,haiku,skill_on,amenity_kit_and_comfort_extras,899,5,0.0056,167,0.1858,1,standard_acceptable,0.3826
airlines_review,concept_advantage_attributes,haiku,skill_on,value_for_money_perception,899,5,0.0056,8,0.0089,1,excellent_worth_premium,0.4472
airlines_review,concept_advantage_attributes,sonnet,skill_on,crew_service_quality,899,4,0.0044,0,0.0,1,good,0.525
airlines_review,concept_advantage_attributes,sonnet,skill_on,food_quality,899,5,0.0056,175,0.1947,1,good,0.3971
airlines_review,concept_advantage_attributes,sonnet,skill_on,seat_comfort_perception,899,4,0.0044,246,0.2736,1,spacious_and_comfortable,0.3871
airlines_review,concept_advantage_attributes,sonnet,skill_on,inflight_entertainment_quality,899,5,0.0056,305,0.3393,1,Unknown,0.3393
airlines_review,concept_advantage_attributes,sonnet,skill_on,cabin_cleanliness,899,2,0.0022,0,0.0,1,False,0.9177
airlines_review,concept_advantage_attributes,sonnet,skill_on,value_for_money_perception,899,4,0.0044,25,0.0278,1,excellent_value,0.6774
airlines_review,concept_advantage_attributes,sonnet,skill_on,special_assistance_handling,899,2,0.0022,0,0.0,1,False,0.9021
airlines_review,concept_advantage_attributes,sonnet,skill_on,personalization_signal,899,2,0.0022,0,0.0,1,False,0.8821
airlines_review,concept_key_focus_points,haiku,skill_off_update,average_component_rating,900,20,0.0222,0,0.0,1,3.8,0.1222
airlines_review,concept_key_focus_points,haiku,skill_off_update,rating_variance,900,26,0.0289,0,0.0,1,1.3,0.0767
airlines_review,concept_key_focus_points,haiku,skill_off_update,satisfaction_group,900,3,0.0033,0,0.0,1,dissatisfied,0.44
airlines_review,concept_key_focus_points,haiku,skill_off_update,is_complaint_review,900,2,0.0022,0,0.0,1,1,0.72
airlines_review,concept_key_focus_points,sonnet,skill_off_update,Sentiment,900,3,0.0033,0,0.0,1,Positive,0.4233
airlines_review,concept_key_focus_points,sonnet,skill_off_update,Issues_Flagged,900,18,0.02,252,0.28,1,none,0.28
airlines_review,concept_key_focus_points,sonnet,skill_off_update,Key_Focus_Point,900,5,0.0056,0,0.0,1,Seat Comfort,0.3056
airlines_review,concept_key_focus_points,sonnet,skill_off_update,Needs_Attention,900,2,0.0022,0,0.0,1,No,0.5278
airlines_review,concept_key_focus_points,sonnet,skill_off_update,Review_Length,900,3,0.0033,0,0.0,1,Medium,0.5444
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,service_quality_issue,900,5,0.0056,186,0.2067,1,cabin_crew_service,0.4089
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,product_complaint,900,7,0.0078,501,0.5567,1,,0.5567
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,operational_disruption,900,6,0.0067,605,0.6722,1,,0.6722
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,sentiment_polarity,900,5,0.0056,0,0.0,1,moderately_negative,0.3478
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,value_for_money_perception,900,6,0.0067,4,0.0044,1,poor_value_with_degradation,0.3511
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,loyalty_or_repeat_intent_signal,900,5,0.0056,4,0.0044,1,strong_repeat_intent,0.3256
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,staff_attitude_and_communication,900,6,0.0067,1,0.0011,1,dismissive_rude,0.44
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,aircraft_or_cabin_condition,900,6,0.0067,179,0.1989,1,acceptable_condition,0.5478
airlines_review,concept_key_focus_points,haiku,skill_on_e2e,ground_handling_friction,900,6,0.0067,172,0.1911,1,smooth_efficient,0.4867
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,crew_attitude,900,5,0.0056,66,0.0733,1,poor,0.3522
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,food_quality_signal,900,4,0.0044,414,0.46,1,Unknown,0.46
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,operational_disruption_type,900,6,0.0067,709,0.7878,1,,0.7878
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,baggage_issue_type,900,5,0.0056,822,0.9133,1,,0.9133
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,customer_service_responsiveness,900,5,0.0056,216,0.24,1,no_response,0.3433
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,ground_service_quality,900,4,0.0044,290,0.3222,1,negative,0.3833
airlines_review,concept_key_focus_points,sonnet,skill_on_e2e,premium_product_delivery,900,4,0.0044,502,0.5578,1,not_applicable,0.5578
airlines_review,concept_key_focus_points,haiku,skill_on,primary_complaint_or_praise,900,12,0.0133,0,0.0,1,crew_service,0.2289
airlines_review,concept_key_focus_points,haiku,skill_on,sentiment_direction,900,4,0.0044,0,0.0,1,negative,0.5089
airlines_review,concept_key_focus_points,haiku,skill_on,crew_professionalism_and_warmth,900,8,0.0089,9,0.01,1,warm_attentive_exceptional,0.3333
airlines_review,concept_key_focus_points,haiku,skill_on,operational_disruption_type,900,7,0.0078,635,0.7056,1,,0.7056
airlines_review,concept_key_focus_points,haiku,skill_on,traveler_expectation_gap,900,4,0.0044,0,0.0,1,exceeded_expectations,0.33
airlines_review,concept_key_focus_points,sonnet,skill_on,crew_attitude,900,5,0.0056,37,0.0411,1,friendly_attentive,0.4178
airlines_review,concept_key_focus_points,sonnet,skill_on,flight_disruption_type,900,6,0.0067,0,0.0,1,no_disruption,0.7811
airlines_review,concept_key_focus_points,sonnet,skill_on,customer_service_resolution,900,4,0.0044,629,0.6989,1,not_applicable,0.6989
airlines_review,concept_key_focus_points,sonnet,skill_on,food_quality_sentiment,900,4,0.0044,437,0.4856,1,,0.4856
airlines_review,concept_key_focus_points,sonnet,skill_on,service_failure_type,900,6,0.0067,0,0.0,1,no_failure,0.4556
airlines_review,concept_key_focus_points,sonnet,skill_on,seat_product_class_gap,900,2,0.0022,0,0.0,1,False,0.9078
airlines_review,concept_key_focus_points,sonnet,skill_on,ground_service_quality,900,4,0.0044,366,0.4067,1,Unknown,0.4067
airlines_review,concept_key_focus_points,sonnet,skill_on,special_needs_handling,900,2,0.0022,0,0.0,1,False,0.9567
airlines_review,eda_rating_drivers,haiku,skill_off_update,seat_comfort_mentioned,900,2,0.0022,0,0.0,1,0,0.5389
airlines_review,eda_rating_drivers,haiku,skill_off_update,staff_service_mentioned,900,2,0.0022,0,0.0,1,1,0.8222
airlines_review,eda_rating_drivers,haiku,skill_off_update,food_mentioned,900,2,0.0022,0,0.0,1,1,0.6656
airlines_review,eda_rating_drivers,haiku,skill_off_update,entertainment_mentioned,900,2,0.0022,0,0.0,1,0,0.5911
airlines_review,eda_rating_drivers,haiku,skill_off_update,value_mentioned,900,2,0.0022,0,0.0,1,0,0.8089
airlines_review,eda_rating_drivers,haiku,skill_off_update,punctuality_mentioned,900,2,0.0022,0,0.0,1,0,0.72
airlines_review,eda_rating_drivers,haiku,skill_off_update,cleanliness_mentioned,900,2,0.0022,0,0.0,1,0,0.87
airlines_review,eda_rating_drivers,haiku,skill_off_update,review_length,900,670,0.7444,0,0.0,0,507,0.0067
airlines_review,eda_rating_drivers,haiku,skill_off_update,detailed_negative_review,900,2,0.0022,0,0.0,1,0,0.7722
airlines_review,eda_rating_drivers,haiku,skill_off_update,detailed_positive_review,900,2,0.0022,0,0.0,1,0,0.5478
airlines_review,eda_rating_drivers,haiku,skill_off_update,dominant_theme,900,7,0.0078,0,0.0,1,seat_comfort,0.4611
airlines_review,eda_rating_drivers,haiku,skill_off_update,theme_count,900,8,0.0089,0,0.0,1,3,0.2467
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_seat_comfort,900,2,0.0022,0,0.0,1,1,0.5133
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_staff_service,900,2,0.0022,0,0.0,1,1,0.6511
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_food_quality,900,2,0.0022,0,0.0,1,1,0.6344
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_entertainment,900,2,0.0022,0,0.0,1,0,0.6322
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_value_for_money,900,2,0.0022,0,0.0,1,0,0.8256
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_punctuality,900,2,0.0022,0,0.0,1,0,0.7267
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_cleanliness,900,2,0.0022,0,0.0,1,0,0.8689
airlines_review,eda_rating_drivers,sonnet,skill_off_update,theme_boarding,900,2,0.0022,0,0.0,1,0,0.6589
airlines_review,eda_rating_drivers,sonnet,skill_off_update,review_positive_word_count,900,9,0.01,0,0.0,1,0,0.2456
airlines_review,eda_rating_drivers,sonnet,skill_off_update,review_negative_word_count,900,6,0.0067,0,0.0,1,1,0.3811
airlines_review,eda_rating_drivers,sonnet,skill_off_update,review_sentiment_ratio,900,18,0.02,0,0.0,1,1.0,0.2889
airlines_review,eda_rating_drivers,sonnet,skill_off_update,review_word_count,900,305,0.3389,0,0.0,0,50,0.0133
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,seat_comfort_sentiment,900,3,0.0033,0,0.0,1,positive,0.4911
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,crew_service_quality,900,5,0.0056,57,0.0633,1,attentive_warm,0.4778
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,food_quality_sentiment,900,5,0.0056,134,0.1489,1,poor_disappointing,0.2633
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,operational_reliability,900,5,0.0056,325,0.3611,1,on_time_flawless,0.4911
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,value_for_money_perception,900,4,0.0044,1,0.0011,1,premium_justified,0.3789
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,class_product_alignment,900,5,0.0056,1,0.0011,1,service_standard_met,0.4078
airlines_review,eda_rating_drivers,haiku,skill_on_e2e,aircraft_condition,900,5,0.0056,97,0.1078,1,standard_acceptable,0.5844
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,crew_service_quality,900,5,0.0056,3,0.0033,1,exceptional,0.4322
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,proactive_crew_attentiveness,900,4,0.0044,23,0.0256,1,proactive,0.4733
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,special_needs_handling,900,2,0.0022,0,0.0,1,False,0.9344
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,aircraft_cabin_condition,900,5,0.0056,236,0.2622,1,adequate,0.5522
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,food_quality,900,5,0.0056,303,0.3367,1,Unknown,0.3367
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,special_meal_fulfillment,900,2,0.0022,0,0.0,1,False,0.9811
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,service_recovery_quality,900,4,0.0044,666,0.74,1,not_applicable,0.74
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,cabin_class_expectation_gap,900,5,0.0056,1,0.0011,1,exceeded_expectations,0.3078
airlines_review,eda_rating_drivers,sonnet,skill_on_e2e,booking_customer_service_issue,900,2,0.0022,0,0.0,1,False,0.8544
airlines_review,eda_rating_drivers,haiku,skill_on,crew_service_quality,900,5,0.0056,0,0.0,1,poor_inattentive,0.3211
airlines_review,eda_rating_drivers,haiku,skill_on,seat_comfort_product,900,5,0.0056,311,0.3456,1,Unknown,0.3456
airlines_review,eda_rating_drivers,haiku,skill_on,food_beverage_quality,900,7,0.0078,262,0.2911,1,good_tasty,0.24
airlines_review,eda_rating_drivers,haiku,skill_on,aircraft_product_age_condition,900,5,0.0056,257,0.2856,1,well_maintained,0.2956
airlines_review,eda_rating_drivers,haiku,skill_on,price_value_alignment,900,5,0.0056,1,0.0011,1,good_value,0.4622
airlines_review,eda_rating_drivers,haiku,skill_on,service_consistency_across_legs,900,5,0.0056,417,0.4633,1,Unknown,0.4633
airlines_review,eda_rating_drivers,sonnet,skill_on,service_style,900,5,0.0056,34,0.0378,1,personalized_warm,0.37
airlines_review,eda_rating_drivers,sonnet,skill_on,service_consistency,900,4,0.0044,1,0.0011,1,inconsistent,0.4278
airlines_review,eda_rating_drivers,sonnet,skill_on,food_quality,900,5,0.0056,286,0.3178,1,Unknown,0.3178
